FromNode,ToNode,NumberOfElementsInLoadingBuffer,NumberOfElementsInEntranceQueue,NumberOfElementsInExitQue,LoadingBuffer,EntranceQueue,ExitQue
1,2,0,2,0,,222;4;885.5;223;4;885.5;,,
1,3,0,0,0,,,,
1,6,0,1,0,,224;7;885.5;,,
6,7,0,2,0,,218;12;885.2;221;12;885.8;,,
2,4,0,4,0,,216;7;885.2;217;12;885.2;219;7;885.8;220;12;885.8;,,
3,5,0,0,0,,,,
4,8,0,1,0,,215;13;885.5;,,
8,7,0,2,0,,208;12;885.3;211;12;885.9;,,
5,9,0,0,0,,,,
9,7,0,0,0,,,,
5,11,0,0,0,,,,
4,10,0,1,0,,213;-1;885.5;,,
11,12,0,0,0,,,,
10,12,0,2,0,,209;-1;885.3;212;-1;885.9;,,
7,13,0,2,0,,214;-1;885.5;205;-1;885.6;,,
13,12,0,21,0,,171;-1;885.1;184;-1;885.6;174;-1;885.7;187;-1;886.2;177;-1;886.3;190;-1;886.8;180;-1;886.9;193;-1;887.4;183;-1;887.4;195;-1;888.0;186;-1;888.0;199;-1;888.6;189;-1;888.6;201;-1;889.2;192;-1;889.2;204;-1;889.8;197;-1;889.8;207;-1;890.4;200;-1;890.4;210;-1;890.9;202;-1;891.0;,,
