FromNode,ToNode,NumberOfElementsInLoadingBuffer,NumberOfElementsInEntranceQueue,NumberOfElementsInExitQue,LoadingBuffer,EntranceQueue,ExitQue
1,2,0,0,0,,,,
1,3,0,0,0,,,,
1,6,0,0,0,,,,
6,7,0,0,0,,,,
2,4,0,0,0,,,,
3,5,0,0,0,,,,
4,8,0,0,0,,,,
8,7,0,0,0,,,,
5,9,0,0,0,,,,
9,7,0,0,0,,,,
5,11,0,0,0,,,,
4,10,0,0,0,,,,
11,12,0,0,0,,,,
10,12,0,0,0,,,,
7,13,0,0,0,,,,
13,12,0,0,0,,,,
