FromNode,ToNode,NumberOfElementsInLoadingBuffer,NumberOfElementsInEntranceQueue,NumberOfElementsInExitQue,LoadingBuffer,EntranceQueue,ExitQue
1,2,0,2,0,,297;4;900.3;298;4;900.3;,,
1,3,0,0,0,,,,
1,6,0,1,0,,299;7;900.3;,,
6,7,0,2,0,,293;12;900.1;296;12;900.7;,,
2,4,0,4,0,,291;12;900.1;292;7;900.1;294;7;900.7;295;12;900.7;,,
3,5,0,0,0,,,,
4,8,0,1,0,,289;13;900.4;,,
8,7,0,2,0,,283;12;900.1;286;12;900.7;,,
5,9,0,0,0,,,,
9,7,0,0,0,,,,
5,11,0,0,0,,,,
4,10,0,1,0,,288;-1;900.4;,,
11,12,0,0,0,,,,
10,12,0,2,0,,282;-1;900.1;285;-1;900.7;,,
7,13,0,2,0,,290;-1;900.4;280;-1;900.5;,,
13,12,0,20,0,,260;-1;900.5;249;-1;900.5;263;-1;901.0;253;-1;901.1;266;-1;901.6;256;-1;901.7;269;-1;902.2;259;-1;902.3;270;-1;902.8;262;-1;902.9;275;-1;903.4;265;-1;903.5;278;-1;904.0;267;-1;904.1;281;-1;904.6;271;-1;904.7;284;-1;905.2;274;-1;905.3;287;-1;905.8;277;-1;905.9;,,
