FromNode,ToNode,NumberOfElementsInLoadingBuffer,NumberOfElementsInEntranceQueue,NumberOfElementsInExitQue,LoadingBuffer,EntranceQueue,ExitQue
1,2,0,4,0,,69;4;855.2;70;4;855.2;72;4;855.8;74;4;855.8;,,
1,3,0,0,0,,,,
1,6,0,2,0,,71;7;855.2;73;7;855.8;,,
6,7,0,1,0,,67;12;855.5;,,
2,4,0,2,0,,66;12;855.5;68;7;855.5;,,
3,5,0,0,0,,,,
4,8,0,2,0,,62;13;855.2;64;13;855.8;,,
8,7,0,1,0,,57;12;855.6;,,
5,9,0,0,0,,,,
9,7,0,0,0,,,,
5,11,0,0,0,,,,
4,10,0,2,0,,61;-1;855.2;65;-1;855.8;,,
11,12,0,0,0,,,,
10,12,0,1,0,,58;-1;855.6;,,
7,13,0,4,0,,60;-1;855.2;51;-1;855.3;63;-1;855.8;54;-1;855.9;,,
13,12,0,20,0,,30;-1;855.3;22;-1;855.4;34;-1;855.9;25;-1;856.0;38;-1;856.5;29;-1;856.6;41;-1;857.1;31;-1;857.2;44;-1;857.7;35;-1;857.7;47;-1;858.3;37;-1;858.3;50;-1;858.9;40;-1;858.9;53;-1;859.5;42;-1;859.5;56;-1;860.1;45;-1;860.1;59;-1;860.7;48;-1;860.7;,,
